row,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32
11,#66A0D7,#71B4E5,#73C2DF,#70C5CB,#6BC4B3,#6AC39A,#6EC885,#79D979,#86ED78,#92FA79,#C2F67A,#EAF57D,#FFF17B,#FFE376,#F7C96E,#EFB367,#F4A464,#FF9864,#FF8761,#FF7456,#FD6C64,#FF6C8E,#F769A6,#E765AD,#CF64A7,#B263AA,#9263AC,#7C64AB,#7165B1,#6371B4,#5F80BC,#608EC4
12,#5096D2,#5AABE2,#5DBADB,#58BEC5,#53BCAA,#53BA8E,#57C075,#61D365,#6EE962,#7BF862,#B6F563,#E5F366,#FFEF63,#FFDF5E,#F4C158,#EAA952,#F09950,#FE8A50,#FF774E,#FE6043,#F95753,#FB5681,#F3539B,#E250A3,#C8519E,#A953A1,#8653A3,#6D54A2,#6155A9,#5064AC,#4C74B5,#4B83BE
13,#348CCE,#3EA3DF,#41B3D7,#3BB7BF,#36B4A0,#37B282,#3CB965,#42CC50,#4DE548,#5CF645,#A8F346,#DFF249,#FFED45,#FFDB41,#EFB93F,#E59F3C,#EB8D3B,#FA7D3C,#FF653A,#F94A30,#F43F43,#F83C75,#F03892,#DD369B,#C13C95,#9F4098,#79429A,#5C4498,#4D459F,#3A56A3,#3468AE,#3479B8
14,#0083CA,#069BDC,#0BACD4,#00AFB8,#00AC97,#01AA76,#09B156,#00C63A,#00E125,#20F312,#98F115,#D7F01A,#FCEA0C,#FFD608,#EBB21D,#DF9522,#E58123,#F56E26,#FC5226,#F4301C,#EF1E34,#F4126A,#EB0389,#D80B92,#BA208C,#952A8F,#6A2F8F,#4A328E,#353395,#18479A,#075CA7,#066FB2
15,#0A7BBE,#1191CD,#14A0C5,#0CA3AB,#0BA08C,#0B9E6E,#11A450,#0EB637,#12CD25,#25DC17,#8BDB19,#C4DA1D,#E5D414,#E8C310,#D8A41E,#CE8A21,#D47822,#E26625,#E94D24,#E22F1B,#DD2031,#E21763,#DA0E7F,#C81287,#AB2181,#892883,#612C82,#442E81,#322F87,#1A428D,#0E569B,#0E68A7
16,#1174B1,#1687BF,#1995B7,#13979F,#119482,#119266,#16974B,#15A633,#1ABA24,#28C71A,#7FC61B,#B2C61E,#D0C118,#D4B115,#C6961E,#BE8021,#C46F21,#D15F23,#D74823,#D02D1A,#CC212E,#D01A5B,#C81475,#B7167C,#9C2176,#7C2677,#582976,#3F2B75,#2F2B7A,#1B3D81,#13508F,#13619B
17,#166CA5,#1A7EB2,#1C8AAA,#178C93,#158A79,#15885F,#188C46,#199930,#1EA923,#29B41B,#74B41C,#A2B31F,#BDAF1A,#C1A117,#B68A1E,#B07620,#B56720,#C15822,#C64421,#BE2C19,#BA212B,#BE1D54,#B6186B,#A61971,#8D206B,#70246C,#50266A,#392769,#2C276D,#1C3775,#164A83,#165A8F
18,#196498,#1C75A5,#1E819E,#198288,#188070,#177D58,#1A8141,#1C8C2D,#209A22,#29A31C,#6AA31D,#93A21F,#AB9E1B,#AF9318,#A77F1D,#A26D1F,#A7601F,#B15220,#B53F1F,#AC2A18,#A72127,#AB1E4C,#A41A61,#951A65,#7F1F60,#642260,#48235E,#34245D,#282461,#1C3269,#184378,#185384
19,#1B5C8B,#1E6C98,#1F7791,#1B787E,#197567,#187351,#1B753C,#1D7F2B,#218C21,#28931C,#61931D,#85931F,#9B8F1B,#9F8519,#99741D,#95651E,#99581E,#A14B1E,#A33A1E,#9A2817,#952024,#991E45,#921B56,#841B5A,#701E55,#592055,#402053,#2F2152,#252155,#1B2E5E,#193D6C,#194C78
20,#1C537E,#1F638A,#1F6D85,#1C6E73,#1A6B5E,#196849,#1B6A36,#1D7328,#217E20,#28851B,#58851C,#79851E,#8C821B,#917919,#8C6A1C,#885C1D,#8A501C,#91441D,#91351C,#872516,#831F21,#861E3D,#7F1B4C,#731B4F,#621D4A,#4E1D4A,#381D49,#2A1D48,#221D4A,#1B2953,#193760,#1A456C
21,#1C4B70,#1F5A7D,#1F6378,#1C6368,#1A6054,#195C42,#1B5E31,#1D6624,#21701E,#26761B,#50781C,#6D781D,#7F751B,#836E19,#7E601B,#7A531B,#7B481B,#803D1B,#7F301A,#752214,#711E1D,#741D35,#6E1B42,#631A44,#541B40,#431B40,#311A3F,#251A3E,#1F1A40,#192549,#193155,#1A3E60
22,#1C4363,#1E506F,#1F586B,#1C585C,#1A554B,#19513A,#1A522C,#1C5921,#20621C,#24681A,#486A1B,#626B1C,#71691A,#756219,#70551A,#6C491A,#6C3F19,#6F3619,#6D2A17,#641F13,#601B1A,#621B2E,#5D1938,#53193A,#471937,#391836,#2B1836,#211835,#1C1737,#18203F,#182C4A,#193755
23,#1B3A56,#1D4660,#1E4D5E,#1B4D51,#194941,#184633,#194626,#1B4B1E,#1E531A,#225818,#3F5B19,#565D1A,#645B19,#665618,#624B18,#5D4018,#5D3717,#5F2F17,#5C2515,#531C11,#501917,#511927,#4D182F,#451730,#3B162E,#30162E,#25152D,#1D152D,#19152F,#161C36,#172640,#183049
24,#193249,#1C3C52,#1C4350,#1A4245,#183F38,#173B2B,#173A21,#193F1A,#1C4517,#1F4916,#364D17,#494F19,#554E18,#574916,#534017,#4F3716,#4E2F15,#4F2814,#4B2013,#44190F,#411614,#421620,#3E1627,#381528,#311426,#281426,#1F1326,#191326,#161227,#14192D,#152136,#172A3E
25,#172A3D,#1A3344,#1A3843,#183739,#16342E,#153024,#152F1C,#163217,#193715,#1B3B14,#2D3F15,#3D4116,#474116,#483D15,#453515,#412D14,#402713,#402112,#3C1B10,#36150C,#341411,#34141B,#311320,#2D1220,#28121F,#211120,#1B1020,#161020,#140F21,#131526,#141C2D,#152334
26,#152231,#172937,#172E36,#162D2E,#142A25,#13271D,#132617,#142713,#152B12,#172D12,#243113,#313414,#383413,#3A3013,#372B12,#342511,#332010,#321B0F,#2F160D,#2B1209,#29110D,#291116,#271119,#23101A,#200F19,#1C0E1A,#170D1A,#130D1A,#110C1B,#11121F,#121824,#131D2A
27,#121B25,#14202A,#142329,#132324,#11201D,#101E17,#101D12,#111E0F,#12200E,#14210E,#1C2410,#252711,#2B2711,#2C2510,#2A210F,#281C0E,#27190D,#26160B,#241209,#210F06,#200E09,#200E11,#1E0D14,#1C0C14,#1A0C14,#160B14,#120915,#0F0915,#0D0915,#0D0E18,#0F131C,#111720
28,#0F141B,#10181E,#111A1E,#0F191A,#0D1815,#0B1611,#0B150D,#0C160A,#0D1709,#0E1809,#15190B,#1B1B0C,#1F1B0C,#1F1A0C,#1E180B,#1D1509,#1C1208,#1C1007,#1B0C06,#190904,#180906,#17090B,#16080E,#14080E,#12070E,#10070E,#0C060F,#0A060F,#08060F,#090912,#0A0D15,#0C1118
29,#070B10,#090E12,#090F12,#080F0F,#060E0C,#050C09,#050C06,#050C05,#060D04,#070D04,#0C0F05,#101006,#131006,#130F06,#120E05,#120C05,#110A04,#100803,#0F0603,#0E0402,#0D0403,#0D0405,#0C0407,#0B0407,#0A0307,#080307,#060307,#050307,#040308,#040409,#05070C,#06090E
30,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
